iter	PRAUC	Logloss
180	0.4922179605	0.1825934957
181	0.4922623557	0.1825852519
182	0.492500336	0.1825792498
183	0.4929499841	0.1825735554
184	0.4935207776	0.1825684062
185	0.4943359619	0.1825599432
186	0.4946762289	0.1825528632
187	0.4952299832	0.1825463413
188	0.4957849662	0.1825394439
189	0.4962051322	0.1825332619
190	0.4964846725	0.1825289635
191	0.4969144381	0.1825239289
192	0.4975446222	0.1825168977
193	0.4975446222	0.1825168925
194	0.4981669676	0.1825087149
195	0.4983848688	0.1825046766
196	0.4990959316	0.1824949901
197	0.4994658165	0.1824879432
198	0.499517445	0.1824856586
199	0.4996766494	0.1824823237
200	0.4999373425	0.182478749
